Day,funnel,Total users,New users,Returning users,New user %
2025-10-03,기타,657,0,657,0.0
2025-10-03,유입,1879,576,1303,30.65460351250665
2025-10-03,활동,709,0,709,0.0
2025-10-04,기타,833,0,833,0.0
2025-10-04,유입,2426,760,1666,31.327287716405607
2025-10-04,활동,882,0,882,0.0
2025-10-05,기타,612,0,612,0.0
2025-10-05,유입,1756,538,1218,30.637813211845106
2025-10-05,활동,656,0,656,0.0
2025-10-06,기타,607,0,607,0.0
2025-10-06,유입,1716,514,1202,29.953379953379955
2025-10-06,활동,651,0,651,0.0
2025-10-07,구매완료,1,0,1,0.0
2025-10-07,기타,610,0,610,0.0
2025-10-07,유입,1717,520,1197,30.285381479324403
2025-10-07,활동,664,0,664,0.0
2025-10-08,기타,666,0,666,0.0
2025-10-08,유입,1881,555,1326,29.505582137161085
2025-10-08,활동,727,0,727,0.0
2025-10-09,구매완료,2,0,2,0.0
2025-10-09,기타,563,0,563,0.0
2025-10-09,유입,1587,470,1117,29.615626969124133
2025-10-09,활동,603,0,603,0.0
2025-10-10,기타,530,0,530,0.0
2025-10-10,유입,1471,431,1040,29.29979605710401
2025-10-10,활동,572,0,572,0.0
2025-10-11,구매완료,1,0,1,0.0
2025-10-11,기타,598,0,598,0.0
2025-10-11,유입,1703,506,1197,29.712272460364066
2025-10-11,활동,606,0,606,0.0
2025-10-12,구매완료,1,0,1,0.0
2025-10-12,기타,663,0,663,0.0
2025-10-12,유입,1861,545,1316,29.285330467490596
2025-10-12,활동,671,0,671,0.0
2025-10-13,구매완료,2,0,2,0.0
2025-10-13,기타,486,0,486,0.0
2025-10-13,유입,1347,399,948,29.621380846325167
2025-10-13,활동,521,0,521,0.0
2025-10-14,기타,556,0,556,0.0
2025-10-14,유입,1563,463,1100,29.62252079334613
2025-10-14,활동,597,0,597,0.0
2025-10-15,구매완료,1,0,1,0.0
2025-10-15,기타,434,0,434,0.0
2025-10-15,유입,1161,318,843,27.39018087855297
2025-10-15,활동,500,0,500,0.0
2025-10-16,구매완료,2,0,2,0.0
2025-10-16,기타,349,0,349,0.0
2025-10-16,유입,933,267,666,28.617363344051448
2025-10-16,활동,379,0,379,0.0
2025-10-17,구매완료,2,0,2,0.0
2025-10-17,기타,334,0,334,0.0
2025-10-17,유입,895,254,641,28.37988826815642
2025-10-17,활동,386,0,386,0.0
2025-10-18,기타,384,0,384,0.0
2025-10-18,유입,1111,341,770,30.693069306930692
2025-10-18,활동,423,0,423,0.0
2025-10-19,구매완료,1,0,1,0.0
2025-10-19,기타,399,0,399,0.0
2025-10-19,유입,1084,314,770,28.96678966789668
2025-10-19,활동,414,0,414,0.0
2025-10-20,구매완료,1,0,1,0.0
2025-10-20,기타,390,0,390,0.0
2025-10-20,유입,1054,301,753,28.55787476280835
2025-10-20,활동,365,0,365,0.0
2025-10-21,구매완료,4,0,4,0.0
2025-10-21,기타,420,0,420,0.0
2025-10-21,유입,1037,297,740,28.640308582449375
2025-10-21,활동,433,0,433,0.0
2025-10-22,구매완료,3,0,3,0.0
2025-10-22,기타,416,0,416,0.0
2025-10-22,유입,1081,304,777,28.122109158186863
2025-10-22,활동,435,0,435,0.0
2025-10-23,구매완료,3,0,3,0.0
2025-10-23,기타,333,0,333,0.0
2025-10-23,유입,853,248,605,29.073856975381005
2025-10-23,활동,349,0,349,0.0
2025-10-24,구매완료,1,0,1,0.0
2025-10-24,기타,301,0,301,0.0
2025-10-24,유입,822,240,582,29.1970802919708
2025-10-24,활동,316,0,316,0.0
2025-10-25,구매완료,2,0,2,0.0
2025-10-25,기타,281,0,281,0.0
2025-10-25,유입,772,222,550,28.756476683937827
2025-10-25,활동,277,0,277,0.0
2025-10-26,기타,306,0,306,0.0
2025-10-26,유입,836,243,593,29.066985645933013
2025-10-26,활동,347,0,347,0.0
2025-10-27,구매완료,2,0,2,0.0
2025-10-27,기타,299,0,299,0.0
2025-10-27,유입,761,208,553,27.33245729303548
2025-10-27,활동,338,0,338,0.0
2025-10-28,구매완료,1,0,1,0.0
2025-10-28,기타,299,0,299,0.0
2025-10-28,유입,795,220,575,27.67295597484277
2025-10-28,활동,342,0,342,0.0
2025-10-29,기타,320,0,320,0.0
2025-10-29,유입,849,218,631,25.677267373380445
2025-10-29,활동,376,0,376,0.0
2025-10-30,구매완료,1,0,1,0.0
2025-10-30,기타,273,0,273,0.0
2025-10-30,유입,713,184,529,25.806451612903224
2025-10-30,활동,318,0,318,0.0
2025-10-31,구매완료,2,0,2,0.0
2025-10-31,기타,297,0,297,0.0
2025-10-31,유입,773,220,553,28.46054333764554
2025-10-31,활동,351,0,351,0.0
2025-11-01,구매완료,3,0,3,0.0
2025-11-01,기타,728,0,728,0.0
2025-11-01,유입,1894,525,1369,27.71911298838437
2025-11-01,활동,789,0,789,0.0
2025-11-02,구매완료,1,0,1,0.0
2025-11-02,기타,659,0,659,0.0
2025-11-02,유입,1798,495,1303,27.53058954393771
2025-11-02,활동,747,0,747,0.0
2025-11-03,구매완료,3,0,3,0.0
2025-11-03,기타,515,0,515,0.0
2025-11-03,유입,1339,365,974,27.25914861837192
