월,주,일,광고세트,연령,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,연령_통합,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_기프티콘,18-24,구분필요,-,기타,기타,기타,131,6,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_기프티콘,25-34,구분필요,-,기타,기타,기타,1036,33,0.0,0,0,0.0,0.0,0.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_기프티콘,35-44,구분필요,-,기타,기타,기타,478,11,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_기프티콘,45-54,구분필요,-,기타,기타,기타,201,4,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_테스트5,18-24,구분필요,-,기타,기타,기타,479,35,2.0,0,0,0.0,0.0,239.5,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_테스트5,25-34,구분필요,-,기타,기타,기타,541,52,2.0,0,0,0.0,0.0,270.5,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_테스트5,35-44,구분필요,-,기타,기타,기타,629,44,2.0,0,0,0.0,0.0,314.5,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_테스트5,45-54,구분필요,-,기타,기타,기타,281,24,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_테스트5,55-64,구분필요,-,기타,기타,기타,476,19,1.0,0,0,0.0,0.0,476.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_테스트5,65+,구분필요,-,기타,기타,기타,789,19,1.0,0,0,0.0,0.0,789.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_폴더영상,18-24,구분필요,-,기타,기타,기타,174,22,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_폴더영상,25-34,구분필요,-,기타,기타,기타,410,20,0.0,0,0,0.0,0.0,0.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_폴더영상,35-44,구분필요,-,기타,기타,기타,602,11,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_폴더영상,45-54,구분필요,-,기타,기타,기타,32,2,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_폴더영상,55-64,구분필요,-,기타,기타,기타,226,2,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,[GM]241121_프라이싱_2_신디자인,18-24,구분필요,-,기타,기타,기타,121,8,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,[GM]241121_프라이싱_2_신디자인,25-34,구분필요,-,기타,기타,기타,3396,63,3.0,0,0,0.0,0.0,1132.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,[GM]241121_프라이싱_2_신디자인,35-44,구분필요,-,기타,기타,기타,2434,34,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,[GM]241121_프라이싱_2_신디자인,45-54,구분필요,-,기타,기타,기타,1202,15,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,[GM]241121_프라이싱_2_신디자인,55-64,구분필요,-,기타,기타,기타,281,5,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,[GM]241121_프라이싱_2_신디자인,65+,구분필요,-,기타,기타,기타,22,1,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,241220_문어발전단지,18-24,구분필요,-,기타,기타,기타,218,27,1.0,0,0,0.0,0.0,218.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,241220_문어발전단지,25-34,구분필요,-,기타,기타,기타,1962,45,0.0,0,0,0.0,0.0,0.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,241220_문어발전단지,35-44,구분필요,-,기타,기타,기타,3092,53,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,241220_문어발전단지,45-54,구분필요,-,기타,기타,기타,986,39,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,241220_문어발전단지,55-64,구분필요,-,기타,기타,기타,1126,18,1.0,0,0,0.0,0.0,1126.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,241220_문어발전단지,65+,구분필요,-,기타,기타,기타,215,7,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_검색기록,18-24,구분필요,-,기타,기타,기타,378,11,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_검색기록,25-34,구분필요,-,기타,기타,기타,1689,37,2.0,0,0,0.0,0.0,844.5,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_검색기록,35-44,구분필요,-,기타,기타,기타,1887,27,1.0,1,671875,35605.45839957605,1887.0,1887.0,35세 ~ 44세,전환
